Rack,Case,Accession,SwabID,Swab,SwabRep,Row,Column,Date.Recieved,Date.Extracted,PCR.Date,Species,State,site,bdct,estCopyPerSwab
jan24.1,28382,130,1603100166,2,1,C,4,11/8/2017,1/24/2018,1/24/2018,NOPE,FL,DPL48,NA,0
jan24.1,28382,130,1603100166,2,2,D,4,11/8/2017,1/24/2018,1/24/2018,NOPE,FL,DPL48,NA,0
jan24.1,28382,130,1603100166,2,3,E,4,11/8/2017,1/24/2018,1/24/2018,NOPE,FL,DPL48,NA,0
163,28382,131,1603000015,1,1,F,2,11/8/2017,11/21/2017,11/21/2017,NOPE,FL,DPL48,NA,0
jan24.1,28382,131,1603000015,2,1,F,11,11/8/2017,1/24/2018,1/24/2018,NOPE,FL,DPL48,NA,0
jan24.1,28382,131,1603000015,2,2,G,11,11/8/2017,1/24/2018,1/24/2018,NOPE,FL,DPL48,NA,0
jan24.1,28382,131,1603000015,2,3,H,11,11/8/2017,1/24/2018,1/24/2018,NOPE,FL,DPL48,NA,0
163,28382,132,1603000033,1,1,F,3,11/8/2017,11/21/2017,11/21/2017,NOPE,FL,DPL48,NA,0
8-Jan,28382,132,1603000033,2,1,C,1,11/8/2017,1/5/2018,1/8/2018,NOPE,FL,DPL48,NA,0
8-Jan,28382,132,1603000033,2,2,D,1,11/8/2017,1/5/2018,1/8/2018,NOPE,FL,DPL48,NA,0
8-Jan,28382,132,1603000033,2,3,E,1,11/8/2017,1/5/2018,1/8/2018,NOPE,FL,DPL48,NA,0
163,28382,133,1603000157,1,1,F,4,11/8/2017,11/21/2017,11/21/2017,NOPE,FL,DPL48,NA,0
jan24.1,28382,133,1603000157,2,1,F,5,11/8/2017,1/24/2018,1/24/2018,NOPE,FL,DPL48,NA,0
jan24.1,28382,133,1603000157,2,2,G,5,11/8/2017,1/24/2018,1/24/2018,NOPE,FL,DPL48,NA,0
jan24.1,28382,133,1603000157,2,3,H,5,11/8/2017,1/24/2018,1/24/2018,NOPE,FL,DPL48,NA,0
163,28382,134,1603100161,1,1,F,5,11/8/2017,11/21/2017,11/21/2017,NOPE,FL,DPL48,NA,0
jan24.2,28382,134,1603100161,2,1,C,3,11/8/2017,1/24/2018,1/24/2018,NOPE,FL,DPL48,NA,0
jan24.2,28382,134,1603100161,2,2,D,3,11/8/2017,1/24/2018,1/24/2018,NOPE,FL,DPL48,NA,0
jan24.2,28382,134,1603100161,2,3,E,3,11/8/2017,1/24/2018,1/24/2018,NOPE,FL,DPL48,NA,0
163,28382,135,1603000018,1,1,F,6,11/8/2017,11/21/2017,11/21/2017,NOPE,FL,DPL48,NA,0
jan24.1,28382,135,1603000018,2,1,F,8,11/8/2017,1/24/2018,1/24/2018,NOPE,FL,DPL48,NA,0
jan24.1,28382,135,1603000018,2,2,G,8,11/8/2017,1/24/2018,1/24/2018,NOPE,FL,DPL48,NA,0
jan24.1,28382,135,1603000018,2,3,H,8,11/8/2017,1/24/2018,1/24/2018,NOPE,FL,DPL48,NA,0
163,28382,136,1603000008,1,1,F,7,11/8/2017,11/21/2017,11/21/2017,NOPE,FL,DPL48,35.75095749,229.2261156
jan24.2,28382,136,1603000008,2,1,C,1,11/8/2017,1/24/2018,1/24/2018,NOPE,FL,DPL48,NA,0
jan24.2,28382,136,1603000008,2,2,D,1,11/8/2017,1/24/2018,1/24/2018,NOPE,FL,DPL48,NA,0
jan24.2,28382,136,1603000008,2,3,E,1,11/8/2017,1/24/2018,1/24/2018,NOPE,FL,DPL48,NA,0
163,28382,137,1603000020,1,1,F,8,11/8/2017,11/21/2017,11/21/2017,NOPE,FL,DPL48,NA,0
8-Jan,28382,137,1603000020,2,1,C,5,11/8/2017,1/5/2018,1/8/2018,NOPE,FL,DPL48,NA,0
8-Jan,28382,137,1603000020,2,2,D,5,11/8/2017,1/5/2018,1/8/2018,NOPE,FL,DPL48,NA,0
8-Jan,28382,137,1603000020,2,3,E,5,11/8/2017,1/5/2018,1/8/2018,NOPE,FL,DPL48,NA,0
163,28382,138,1603000027,1,1,F,9,11/8/2017,11/21/2017,11/21/2017,NOPE,FL,DPL48,NA,0
jan24.1,28382,138,1603000027,2,1,C,11,11/8/2017,1/24/2018,1/24/2018,NOPE,FL,DPL48,NA,0
jan24.1,28382,138,1603000027,2,2,D,11,11/8/2017,1/24/2018,1/24/2018,NOPE,FL,DPL48,NA,0
jan24.1,28382,138,1603000027,2,3,E,11,11/8/2017,1/24/2018,1/24/2018,NOPE,FL,DPL48,NA,0
163,28382,139,1603000035,1,1,F,10,11/8/2017,11/21/2017,11/21/2017,NOPE,FL,DPL48,33.45660019,1094.633963
8-Jan,28382,139,1603000035,2,1,C,7,11/8/2017,1/5/2018,1/8/2018,NOPE,FL,DPL48,NA,0
8-Jan,28382,139,1603000035,2,2,D,7,11/8/2017,1/5/2018,1/8/2018,NOPE,FL,DPL48,NA,0
8-Jan,28382,139,1603000035,2,3,E,7,11/8/2017,1/5/2018,1/8/2018,NOPE,FL,DPL48,NA,0
