Fluor,Target,Sample,Rep,Cq
HEX,,10010101,2,#NUM!
HEX,,03010204,1,#NUM!
HEX,,03010204,2,#NUM!
HEX,,10030102,1,#NUM!
HEX,,10030102,2,#NUM!
HEX,,10010110,1,#NUM!
HEX,,10010110,2,#NUM!
HEX,,"Bd+FV3 10_5,5",1,26.39780085
HEX,,"Bd+FV3 10_2,2",1,#NUM!
HEX,,"Bd+FV3 10_1,1",1,#NUM!
HEX,,NTC,1,#NUM!
HEX,,03010202,1,#NUM!
HEX,,03010202,2,#NUM!
HEX,,09030214,1,#NUM!
HEX,,09030214,2,#NUM!
HEX,,10010111,1,#NUM!
HEX,,10010111,2,#NUM!
HEX,,10010103,1,#NUM!
HEX,,10010103,2,#NUM!
HEX,,"Bd+FV3 10_5,5",2,26.51437152
HEX,,"Bd+FV3 10_2,2",2,37.04491486
HEX,,"Bd+FV3 10_1,1",2,36.45971353
HEX,,NTC,2,#NUM!
FAM,,03010201,1,#NUM!
FAM,,03010201,2,#NUM!
FAM,,03010206,1,#NUM!
FAM,,03010206,2,37.85071192
FAM,,03010203,1,31.31276988
FAM,,03010203,2,31.45261854
FAM,,10020111,1,#NUM!
FAM,,10020111,2,#NUM!
FAM,,10030105,1,#NUM!
FAM,,10030105,2,#NUM!
FAM,,10020105,1,#NUM!
FAM,,10020105,2,#NUM!
FAM,,09020210,1,#NUM!
FAM,,09020210,2,#NUM!
FAM,,09020214,1,#NUM!
FAM,,09020214,2,#NUM!
FAM,,0902012,1,36.06839762
FAM,,0902012,2,35.01671524
FAM,,08020108,1,#NUM!
FAM,,08020108,2,39.18623485
FAM,,1001010C,1,#NUM!
FAM,,1001010C,2,#NUM!
FAM,,080201C,1,#NUM!
FAM,,080201C,2,#NUM!
FAM,,09030202,1,#NUM!
FAM,,09030202,2,#NUM!
FAM,,09030212,1,#NUM!
FAM,,09030212,2,#NUM!
FAM,,09030213,1,#NUM!
FAM,,09030213,2,38.15411317
FAM,,08010106,1,32.41955122
FAM,,08010106,2,32.43677483
FAM,,100301C,1,#NUM!
FAM,,100301C,2,#NUM!
FAM,,08010103,1,#NUM!
FAM,,08010103,2,43.24596117
FAM,,09030102,1,#NUM!
FAM,,09030102,2,#NUM!
FAM,,09030103,1,#NUM!
FAM,,09030103,2,#NUM!
FAM,,09030105,1,#NUM!
FAM,,09030105,2,#NUM!
FAM,,05020311,1,#NUM!
FAM,,05020311,2,#NUM!
FAM,,10010104,1,#NUM!
FAM,,10010104,2,#NUM!
FAM,,050103C,1,37.1011329
FAM,,050103C,2,36.51115514
FAM,,09020112,1,#NUM!
FAM,,09020112,2,#NUM!
FAM,,09020110,1,#NUM!
FAM,,09020110,2,#NUM!
FAM,,09020107,1,#NUM!
FAM,,09020107,2,#NUM!
FAM,,070101C,1,#NUM!
FAM,,070101C,2,#NUM!
FAM,,10010112,1,#NUM!
FAM,,10010112,2,#NUM!
FAM,,07010108,1,#NUM!
FAM,,07010108,2,#NUM!
FAM,,10030103,1,#NUM!
FAM,,10030103,2,#NUM!
FAM,,10030108,1,#NUM!
FAM,,10030108,2,37.54638422
FAM,,10030110,1,#NUM!
FAM,,10030110,2,#NUM!
FAM,,07020111,1,#NUM!
FAM,,07020111,2,#NUM!
FAM,,10020108,1,#NUM!
FAM,,10020108,2,#NUM!
FAM,,07020102,1,#NUM!
FAM,,07020102,2,#NUM!
FAM,,10010102,1,#NUM!
FAM,,10010102,2,#NUM!
FAM,,10010105,1,#NUM!
FAM,,10010105,2,36.80966838
FAM,,10010108,1,37.35195622
FAM,,10010108,2,38.23848648
FAM,,07020107,1,#NUM!
FAM,,07020107,2,#NUM!
FAM,,"Bd+FV3 10_5,5",1,25.77822338
FAM,,"Bd+FV3 10_2,2",1,36.42447674
FAM,,"Bd+FV3 10_1,1",1,35.23550972
FAM,,NTC,1,#NUM!
FAM,,10020107,1,#NUM!
FAM,,10020107,2,#NUM!
FAM,,10020109,1,40.32458472
FAM,,10020109,2,37.45112738
FAM,,100201C,1,#NUM!
FAM,,100201C,2,#NUM!
FAM,,10010302,1,#NUM!
FAM,,10010302,2,#NUM!
FAM,,"Bd+FV3 10_5,5",2,25.83492461
FAM,,"Bd+FV3 10_2,2",2,35.70782922
FAM,,"Bd+FV3 10_1,1",2,38.91933591
FAM,,NTC,2,#NUM!
HEX,,03010201,1,#NUM!
HEX,,03010201,2,#NUM!
HEX,,03010206,1,#NUM!
HEX,,03010206,2,#NUM!
HEX,,03010203,1,#NUM!
HEX,,03010203,2,#NUM!
HEX,,10020111,1,#NUM!
HEX,,10020111,2,#NUM!
HEX,,10030105,1,#NUM!
HEX,,10030105,2,#NUM!
HEX,,10020105,1,#NUM!
HEX,,10020105,2,#NUM!
HEX,,09020210,1,#NUM!
HEX,,09020210,2,#NUM!
HEX,,09020214,1,#NUM!
HEX,,09020214,2,#NUM!
HEX,,0902012,1,#NUM!
HEX,,0902012,2,#NUM!
HEX,,08020108,1,#NUM!
HEX,,08020108,2,#NUM!
HEX,,1001010C,1,#NUM!
HEX,,1001010C,2,#NUM!
HEX,,080201C,1,#NUM!
HEX,,080201C,2,#NUM!
HEX,,09030202,1,#NUM!
HEX,,09030202,2,#NUM!
HEX,,09030212,1,#NUM!
HEX,,09030212,2,#NUM!
HEX,,09030213,1,#NUM!
HEX,,09030213,2,#NUM!
HEX,,08010106,1,#NUM!
HEX,,08010106,2,#NUM!
HEX,,100301C,1,#NUM!
HEX,,100301C,2,#NUM!
HEX,,08010103,1,#NUM!
HEX,,08010103,2,#NUM!
HEX,,09030102,1,#NUM!
HEX,,09030102,2,#NUM!
HEX,,09030103,1,#NUM!
HEX,,09030103,2,#NUM!
HEX,,09030105,1,#NUM!
HEX,,09030105,2,#NUM!
HEX,,05020311,1,#NUM!
HEX,,05020311,2,#NUM!
HEX,,10010104,1,#NUM!
HEX,,10010104,2,#NUM!
HEX,,050103C,1,#NUM!
HEX,,050103C,2,#NUM!
HEX,,09020112,1,#NUM!
HEX,,09020112,2,#NUM!
HEX,,09020110,1,#NUM!
HEX,,09020110,2,#NUM!
HEX,,09020107,1,#NUM!
HEX,,09020107,2,#NUM!
HEX,,070101C,1,#NUM!
HEX,,070101C,2,#NUM!
HEX,,10010112,1,#NUM!
HEX,,10010112,2,#NUM!
HEX,,07010108,1,#NUM!
HEX,,07010108,2,#NUM!
HEX,,10030103,1,#NUM!
HEX,,10030103,2,#NUM!
HEX,,10030108,1,#NUM!
HEX,,10030108,2,#NUM!
HEX,,10030110,1,#NUM!
HEX,,10030110,2,#NUM!
HEX,,07020111,1,#NUM!
HEX,,07020111,2,#NUM!
HEX,,10020108,1,#NUM!
HEX,,10020108,2,#NUM!
HEX,,07020102,1,#NUM!
HEX,,07020102,2,#NUM!
HEX,,10010102,1,#NUM!
HEX,,10010102,2,#NUM!
HEX,,10010105,1,#NUM!
HEX,,10010105,2,#NUM!
HEX,,10010108,1,#NUM!
HEX,,10010108,2,#NUM!
HEX,,07020107,1,#NUM!
HEX,,07020107,2,#NUM!
HEX,,"Bd+FV3 10_5,5",1,27.03506455
HEX,,"Bd+FV3 10_2,2",1,37.13280421
HEX,,"Bd+FV3 10_1,1",1,36.48508469
HEX,,NTC,1,#NUM!
HEX,,10020107,1,#NUM!
HEX,,10020107,2,#NUM!
HEX,,10020109,1,#NUM!
HEX,,10020109,2,#NUM!
HEX,,100201C,1,#NUM!
HEX,,100201C,2,#NUM!
HEX,,10010302,1,#NUM!
HEX,,10010302,2,#NUM!
HEX,,"Bd+FV3 10_5,5",2,27.11580328
HEX,,"Bd+FV3 10_2,2",2,36.85771727
HEX,,"Bd+FV3 10_1,1",2,39.04054925
HEX,,NTC,2,#NUM!
FAM,,10020106,1,#NUM!
FAM,,10020106,2,#NUM!
FAM,,10020101,1,#NUM!
FAM,,10020101,2,#NUM!
FAM,,10020112,1,#NUM!
FAM,,10020112,2,#NUM!
FAM,,10020103,1,#NUM!
FAM,,10020103,2,#NUM!
FAM,,10020102,1,37.15118653
FAM,,10020102,2,37.70971542
FAM,,10020104,1,#NUM!
FAM,,10020104,2,#NUM!
FAM,,0802010,1,#NUM!
FAM,,0802010,2,#NUM!
FAM,,08020101,1,#NUM!
FAM,,08020101,2,#NUM!
FAM,,08020112,1,#NUM!
FAM,,08020112,2,#NUM!
FAM,,08020107,1,#NUM!
FAM,,08020107,2,#NUM!
FAM,,08020103,1,37.74293241
FAM,,08020103,2,37.51403158
FAM,,08020105,1,35.35460146
FAM,,08020105,2,35.56447943
FAM,,08010102,1,#NUM!
FAM,,08010102,2,#NUM!
FAM,,08010101,1,#NUM!
FAM,,08010101,2,#NUM!
FAM,,08010105,1,#NUM!
FAM,,08010105,2,#NUM!
FAM,,05010302,1,#NUM!
FAM,,05010302,2,#NUM!
FAM,,05020305,1,#NUM!
FAM,,05020305,2,#NUM!
FAM,,05020307,1,#NUM!
FAM,,05020307,2,#NUM!
FAM,,05010301,1,#NUM!
FAM,,05010301,2,#NUM!
FAM,,05020303,1,#NUM!
FAM,,05020303,2,#NUM!
FAM,,05020306,1,#NUM!
FAM,,05020306,2,#NUM!
FAM,,050203C,1,#NUM!
FAM,,050203C,2,#NUM!
FAM,,05020304,1,#NUM!
FAM,,05020304,2,#NUM!
FAM,,05020309,1,#NUM!
FAM,,05020309,2,#NUM!
FAM,,07010113,1,#NUM!
FAM,,07010113,2,#NUM!
FAM,,07010104,1,#NUM!
FAM,,07010104,2,#NUM!
FAM,,07010109,1,#NUM!
FAM,,07010109,2,#NUM!
FAM,,07010103,1,#NUM!
FAM,,07010103,2,#NUM!
FAM,,0701012,1,#NUM!
FAM,,0701012,2,#NUM!
FAM,,07010110,1,#NUM!
FAM,,07010110,2,#NUM!
FAM,,070201C,1,#NUM!
FAM,,070201C,2,#NUM!
FAM,,07020104,1,#NUM!
FAM,,07020104,2,#NUM!
FAM,,07020109,1,#NUM!
FAM,,07020109,2,#NUM!
FAM,,07020112,1,#NUM!
FAM,,07020112,2,#NUM!
FAM,,07020103,1,#NUM!
FAM,,07020103,2,#NUM!
FAM,,07020106,1,#NUM!
FAM,,07020106,2,#NUM!
FAM,,10020309,1,#NUM!
FAM,,10020309,2,#NUM!
FAM,,10020305,1,#NUM!
FAM,,10020305,2,#NUM!
FAM,,10020302,1,#NUM!
FAM,,10020302,2,#NUM!
FAM,,10020310,1,#NUM!
FAM,,10020310,2,#NUM!
FAM,,"Bd+FV3 10_5,5",1,25.82045072
FAM,,"Bd+FV3 10_2,2",1,36.56160855
FAM,,"Bd+FV3 10_1,1",1,38.12170244
FAM,,NTC,1,#NUM!
FAM,,10010310,1,#NUM!
FAM,,10010310,2,#NUM!
FAM,,10010301,1,#NUM!
FAM,,10010301,2,#NUM!
FAM,,10010308,1,#NUM!
FAM,,10010308,2,#NUM!
FAM,,10010303,1,#NUM!
FAM,,10010303,2,#NUM!
FAM,,"Bd+FV3 10_5,5",2,25.97427014
FAM,,"Bd+FV3 10_2,2",2,37.1076551
FAM,,"Bd+FV3 10_1,1",2,#NUM!
FAM,,NTC,2,#NUM!
HEX,,10020106,1,#NUM!
HEX,,10020106,2,#NUM!
HEX,,10020101,1,#NUM!
HEX,,10020101,2,#NUM!
HEX,,10020112,1,#NUM!
HEX,,10020112,2,#NUM!
HEX,,10020103,1,#NUM!
HEX,,10020103,2,#NUM!
HEX,,10020102,1,#NUM!
HEX,,10020102,2,#NUM!
HEX,,10020104,1,#NUM!
HEX,,10020104,2,#NUM!
HEX,,0802010,1,#NUM!
HEX,,0802010,2,#NUM!
HEX,,08020101,1,#NUM!
HEX,,08020101,2,#NUM!
HEX,,08020112,1,#NUM!
HEX,,08020112,2,#NUM!
HEX,,08020107,1,#NUM!
HEX,,08020107,2,#NUM!
HEX,,08020103,1,#NUM!
HEX,,08020103,2,#NUM!
HEX,,08020105,1,#NUM!
HEX,,08020105,2,#NUM!
HEX,,08010102,1,#NUM!
HEX,,08010102,2,#NUM!
HEX,,08010101,1,#NUM!
HEX,,08010101,2,#NUM!
HEX,,08010105,1,#NUM!
HEX,,08010105,2,#NUM!
HEX,,05010302,1,#NUM!
HEX,,05010302,2,#NUM!
HEX,,05020305,1,#NUM!
HEX,,05020305,2,#NUM!
HEX,,05020307,1,#NUM!
HEX,,05020307,2,#NUM!
HEX,,05010301,1,#NUM!
HEX,,05010301,2,#NUM!
HEX,,05020303,1,#NUM!
HEX,,05020303,2,#NUM!
HEX,,05020306,1,#NUM!
HEX,,05020306,2,#NUM!
HEX,,050203C,1,#NUM!
HEX,,050203C,2,#NUM!
HEX,,05020304,1,#NUM!
HEX,,05020304,2,#NUM!
HEX,,05020309,1,#NUM!
HEX,,05020309,2,#NUM!
HEX,,07010113,1,#NUM!
HEX,,07010113,2,#NUM!
HEX,,07010104,1,#NUM!
HEX,,07010104,2,#NUM!
HEX,,07010109,1,#NUM!
HEX,,07010109,2,#NUM!
HEX,,07010103,1,#NUM!
HEX,,07010103,2,#NUM!
HEX,,0701012,1,#NUM!
HEX,,0701012,2,#NUM!
HEX,,07010110,1,#NUM!
HEX,,07010110,2,#NUM!
HEX,,070201C,1,#NUM!
HEX,,070201C,2,#NUM!
HEX,,07020104,1,#NUM!
HEX,,07020104,2,#NUM!
HEX,,07020109,1,#NUM!
HEX,,07020109,2,#NUM!
HEX,,07020112,1,#NUM!
HEX,,07020112,2,#NUM!
HEX,,07020103,1,#NUM!
HEX,,07020103,2,#NUM!
HEX,,07020106,1,#NUM!
HEX,,07020106,2,#NUM!
HEX,,10020309,1,#NUM!
HEX,,10020309,2,#NUM!
HEX,,10020305,1,#NUM!
HEX,,10020305,2,#NUM!
HEX,,10020302,1,#NUM!
HEX,,10020302,2,#NUM!
HEX,,10020310,1,38.71294786
HEX,,10020310,2,#NUM!
HEX,,"Bd+FV3 10_5,5",1,26.33425395
HEX,,"Bd+FV3 10_2,2",1,37.00764102
HEX,,"Bd+FV3 10_1,1",1,37.29879091
HEX,,NTC,1,#NUM!
HEX,,10010310,1,#NUM!
HEX,,10010310,2,#NUM!
HEX,,10010301,1,#NUM!
HEX,,10010301,2,#NUM!
HEX,,10010308,1,#NUM!
HEX,,10010308,2,#NUM!
HEX,,10010303,1,#NUM!
HEX,,10010303,2,#NUM!
HEX,,"Bd+FV3 10_5,5",2,26.4218293
HEX,,"Bd+FV3 10_2,2",2,37.46989158
HEX,,"Bd+FV3 10_1,1",2,#NUM!
HEX,,NTC,2,#NUM!
FAM,,08020102,1,#NUM!
FAM,,08020102,2,#NUM!
FAM,,08020106,1,#NUM!
FAM,,08020106,2,#NUM!
FAM,,08020111,1,#NUM!
FAM,,08020111,2,#NUM!
FAM,,08020104,1,#NUM!
FAM,,08020104,2,#NUM!
FAM,,10020306,1,#NUM!
FAM,,10020306,2,#NUM!
FAM,,10010307,1,#NUM!
FAM,,10010307,2,#NUM!
FAM,,08020109,1,#NUM!
FAM,,08020109,2,#NUM!
FAM,,08020107,1,#NUM!
FAM,,08020107,2,#NUM!
FAM,,080101C,1,#NUM!
FAM,,080101C,2,#NUM!
FAM,,08010104,1,#NUM!
FAM,,08010104,2,#NUM!
FAM,,10010305,1,#NUM!
