Well,Fluor,Target,Sample,Rep,Cq
F11,HEX,,'01-43,1,45
F12,HEX,,'01-43,2,45
G01,HEX,,"Bd+FV3 10_9,9",1,8.899582232
G02,HEX,,"Bd+FV3 10_8,8",1,12.85120227
G03,HEX,,"Bd+FV3 10_7,7",1,16.83693158
G04,HEX,,"Bd+FV3 10_6,6",1,19.09922151
G05,HEX,,"Bd+FV3 10_5,5",1,23.08255614
G06,HEX,,"Bd+FV3 10_4,4",1,26.86157283
G07,HEX,,"Bd+FV3 10_3,3",1,29.98330987
G08,HEX,,"Bd+FV3 10_2,2",1,33.48579569
G09,HEX,,"Bd+FV3 10_1,1",1,37.56696116
G10,HEX,,"Bd+FV3 10_0,0",1,45
G11,HEX,,NTC,1,45
G12,HEX,,Blank,1,45
H01,HEX,,"Bd+FV3 10_9,9",2,8.968418022
H02,HEX,,"Bd+FV3 10_8,8",2,13.20204893
H03,HEX,,"Bd+FV3 10_7,7",2,17.16097088
H04,HEX,,"Bd+FV3 10_6,6",2,20.63403963
H05,HEX,,"Bd+FV3 10_5,5",2,24.28000118
H06,HEX,,"Bd+FV3 10_4,4",2,27.24999658
H07,HEX,,"Bd+FV3 10_3,3",2,30.59627471
H08,HEX,,"Bd+FV3 10_2,2",2,33.91622369
H09,HEX,,"Bd+FV3 10_1,1",2,37.10753125
H10,HEX,,"Bd+FV3 10_0,0",2,45
H11,HEX,,NTC,2,45
H12,HEX,,Blank,2,45
A01,FAM,,'01-56,1,45
A02,FAM,,'01-56,2,45
A03,FAM,,'01-64,1,45
A04,FAM,,'01-64,2,45
A05,FAM,,'01-72,1,45
A06,FAM,,'01-72,2,45
A07,FAM,,'01-80,1,45
A08,FAM,,'01-80,2,45
A09,FAM,,'02-07,1,45
A10,FAM,,'02-07,2,45
A11,FAM,,'02-15,1,45
A12,FAM,,'02-15,2,45
B01,FAM,,'01-55,1,45
B02,FAM,,'01-55,2,45
B03,FAM,,'01-63,1,45
B04,FAM,,'01-63,2,45
B05,FAM,,'01-71,1,38.25811748
B06,FAM,,'01-71,2,38.72122336
B07,FAM,,'01-79,1,45
B08,FAM,,'01-79,2,45
B09,FAM,,'02-06,1,45
B10,FAM,,'02-06,2,45
B11,FAM,,'02-14,1,33.80855883
B12,FAM,,'02-14,2,34.13500717
C01,FAM,,'01-54,1,45
C02,FAM,,'01-54,2,45
C03,FAM,,'01-62,1,45
C04,FAM,,'01-62,2,45
C05,FAM,,'01-70,1,45
C06,FAM,,'01-70,2,45
C07,FAM,,'01-78,1,45
C08,FAM,,'01-78,2,45
C09,FAM,,'02-05,1,45
C10,FAM,,'02-05,2,45
C11,FAM,,'02-13,1,45
C12,FAM,,'02-13,2,45
D01,FAM,,'01-53,1,45
D02,FAM,,'01-53,2,45
D03,FAM,,'01-61,1,45
D04,FAM,,'01-61,2,45
D05,FAM,,'01-69,1,45
D06,FAM,,'01-69,2,45
D07,FAM,,'01-77,1,45
D08,FAM,,'01-77,2,45
D09,FAM,,'02-04,1,45
D10,FAM,,'02-04,2,45
D11,FAM,,'02-12,1,45
D12,FAM,,'02-12,2,45
E01,FAM,,'01-52,1,45
E02,FAM,,'01-52,2,45
E03,FAM,,'01-60,1,45
E04,FAM,,'01-60,2,45
E05,FAM,,'01-68,1,45
E06,FAM,,'01-68,2,45
E07,FAM,,'01-76,1,45
E08,FAM,,'01-76,2,45
E09,FAM,,'02-03,1,45
E10,FAM,,'02-03,2,45
E11,FAM,,'02-11,1,45
E12,FAM,,'02-11,2,45
F01,FAM,,'01-51,1,45
F02,FAM,,'01-51,2,45
F03,FAM,,'01-59,1,45
F04,FAM,,'01-59,2,45
F05,FAM,,'01-67,1,45
F06,FAM,,'01-67,2,45
F07,FAM,,'01-75,1,45
F08,FAM,,'01-75,2,45
F09,FAM,,'02-02,1,45
F10,FAM,,'02-02,2,45
F11,FAM,,'02-10,1,45
F12,FAM,,'02-10,2,45
G01,FAM,,"Bd+FV3 10_9,9",1,7.787306291
G02,FAM,,"Bd+FV3 10_8,8",1,12.98250221
G03,FAM,,"Bd+FV3 10_7,7",1,17.26361626
G04,FAM,,"Bd+FV3 10_6,6",1,20.72306791
G05,FAM,,"Bd+FV3 10_5,5",1,29.06026324
G06,FAM,,"Bd+FV3 10_4,4",1,27.97931893
G07,FAM,,"Bd+FV3 10_3,3",1,31.09582663
G08,FAM,,"Bd+FV3 10_2,2",1,38.77208134
G09,FAM,,"Bd+FV3 10_1,1",1,38.28408408
G10,FAM,,"Bd+FV3 10_0,0",1,45
G11,FAM,,NTC,1,45
G12,FAM,,Blank,1,45
H01,FAM,,"Bd+FV3 10_9,9",2,7.459066043
H02,FAM,,"Bd+FV3 10_8,8",2,12.62236499
H03,FAM,,"Bd+FV3 10_7,7",2,17.06673114
H04,FAM,,"Bd+FV3 10_6,6",2,20.89609098
H05,FAM,,"Bd+FV3 10_5,5",2,23.93296755
H06,FAM,,"Bd+FV3 10_4,4",2,27.8958748
H07,FAM,,"Bd+FV3 10_3,3",2,30.86200602
H08,FAM,,"Bd+FV3 10_2,2",2,34.39607415
H09,FAM,,"Bd+FV3 10_1,1",2,45
H10,FAM,,"Bd+FV3 10_0,0",2,45
H11,FAM,,NTC,2,45
H12,FAM,,Blank,2,45
A01,HEX,,'01-56,1,45
A02,HEX,,'01-56,2,45
A03,HEX,,'01-64,1,45
A04,HEX,,'01-64,2,45
A05,HEX,,'01-72,1,45
A06,HEX,,'01-72,2,45
A07,HEX,,'01-80,1,45
A08,HEX,,'01-80,2,45
A09,HEX,,'02-07,1,45
A10,HEX,,'02-07,2,45
A11,HEX,,'02-15,1,45
A12,HEX,,'02-15,2,45
B01,HEX,,'01-55,1,45
B02,HEX,,'01-55,2,45
B03,HEX,,'01-63,1,45
B04,HEX,,'01-63,2,45
B05,HEX,,'01-71,1,45
B06,HEX,,'01-71,2,45
B07,HEX,,'01-79,1,45
B08,HEX,,'01-79,2,45
B09,HEX,,'02-06,1,45
B10,HEX,,'02-06,2,45
B11,HEX,,'02-14,1,45
B12,HEX,,'02-14,2,45
C01,HEX,,'01-54,1,45
C02,HEX,,'01-54,2,45
C03,HEX,,'01-62,1,45
C04,HEX,,'01-62,2,45
C05,HEX,,'01-70,1,45
C06,HEX,,'01-70,2,45
C07,HEX,,'01-78,1,45
C08,HEX,,'01-78,2,45
C09,HEX,,'02-05,1,45
C10,HEX,,'02-05,2,45
