Well,Fluor,Target,Sample,Rep,Cq
B11,HEX,,'02-62,1,45
B12,HEX,,'02-62,2,45
C01,HEX,,'02-21,1,45
C02,HEX,,'02-21,2,45
C03,HEX,,'02-29,1,45
C04,HEX,,'02-29,2,45
C05,HEX,,'02-37,1,45
C06,HEX,,'02-37,2,45
C07,HEX,,'02-45,1,45
C08,HEX,,'02-45,2,45
C09,HEX,,'02-53,1,45
C10,HEX,,'02-53,2,45
C11,HEX,,'02-61,1,45
C12,HEX,,'02-61,2,45
D01,HEX,,'02-20,1,45
D02,HEX,,'02-20,2,45
D03,HEX,,'02-28,1,45
D04,HEX,,'02-28,2,45
D05,HEX,,'02-36,1,45
D06,HEX,,'02-36,2,45
D07,HEX,,'02-44,1,45
D08,HEX,,'02-44,2,45
D09,HEX,,'02-52,1,45
D10,HEX,,'02-52,2,45
D11,HEX,,'02-60,1,45
D12,HEX,,'02-60,2,45
E01,HEX,,'02-19,1,45
E02,HEX,,'02-19,2,45
E03,HEX,,'02-27,1,45
E04,HEX,,'02-27,2,45
E05,HEX,,'02-35,1,45
E06,HEX,,'02-35,2,45
E07,HEX,,'02-43,1,45
E08,HEX,,'02-43,2,45
E09,HEX,,'02-51,1,45
E10,HEX,,'02-51,2,45
E11,HEX,,'02-59,1,45
E12,HEX,,'02-59,2,45
F01,HEX,,'02-18,1,45
F02,HEX,,'02-18,2,45
F03,HEX,,'02-26,1,45
F04,HEX,,'02-26,2,45
F05,HEX,,'02-34,1,41.34479073
F06,HEX,,'02-34,2,45
F07,HEX,,'02-42,1,45
F08,HEX,,'02-42,2,45
F09,HEX,,'02-50,1,45
F10,HEX,,'02-50,2,45
F11,HEX,,'02-58,1,45
F12,HEX,,'02-58,2,45
G01,HEX,,"Bd+FV3 10_9,9",1,8.998578616
G02,HEX,,"Bd+FV3 10_8,8",1,13.58714201
G03,HEX,,"Bd+FV3 10_7,7",1,17.84456555
G04,HEX,,"Bd+FV3 10_6,6",1,20.12887506
G05,HEX,,"Bd+FV3 10_5,5",1,24.82371079
G06,HEX,,"Bd+FV3 10_4,4",1,28.44566218
G07,HEX,,"Bd+FV3 10_3,3",1,31.197172
G08,HEX,,"Bd+FV3 10_2,2",1,45
G09,HEX,,"Bd+FV3 10_1,1",1,39.07664114
G10,HEX,,"Bd+FV3 10_0,0",1,45
G11,HEX,,NTC,1,45
G12,HEX,,Blank,1,45
H01,HEX,,"Bd+FV3 10_9,9",2,8.740800643
H02,HEX,,"Bd+FV3 10_8,8",2,13.44396788
H03,HEX,,"Bd+FV3 10_7,7",2,17.62575851
H04,HEX,,"Bd+FV3 10_6,6",2,21.25432779
H05,HEX,,"Bd+FV3 10_5,5",2,24.76434332
H06,HEX,,"Bd+FV3 10_4,4",2,28.04891934
H07,HEX,,"Bd+FV3 10_3,3",2,31.31571446
H08,HEX,,"Bd+FV3 10_2,2",2,35.33959609
H09,HEX,,"Bd+FV3 10_1,1",2,36.7283201
H10,HEX,,"Bd+FV3 10_0,0",2,45
H11,HEX,,NTC,2,39.89872396
H12,HEX,,Blank,2,45
A01,FAM,,'02-71,1,39.65657136
A02,FAM,,'02-71,2,37.53474973
A03,FAM,,'02-79,1,45
A04,FAM,,'02-79,2,45
A05,FAM,,'03-06,1,45
A06,FAM,,'03-06,2,45
A07,FAM,,'03-14,1,45
A08,FAM,,'03-14,2,45
A09,FAM,,'03-22,1,45
A10,FAM,,'03-22,2,45
A11,FAM,,'03-30,1,40.46608765
A12,FAM,,'03-30,2,45
B01,FAM,,'02-70,1,45
B02,FAM,,'02-70,2,45
B03,FAM,,'02-78,1,45
B04,FAM,,'02-78,2,45
B05,FAM,,'03-05,1,45
B06,FAM,,'03-05,2,40.25181296
B07,FAM,,'03-13,1,40.10274921
B08,FAM,,'03-13,2,40.00796545
B09,FAM,,'03-21,1,45
B10,FAM,,'03-21,2,45
B11,FAM,,'03-29,1,45
B12,FAM,,'03-29,2,45
C01,FAM,,'02-69,1,45
C02,FAM,,'02-69,2,45
C03,FAM,,'02-77,1,45
C04,FAM,,'02-77,2,45
C05,FAM,,'03-04,1,45
C06,FAM,,'03-04,2,45
C07,FAM,,'03-12,1,40.43954915
C08,FAM,,'03-12,2,44.12220537
C09,FAM,,'03-20,1,45
C10,FAM,,'03-20,2,40.61025038
C11,FAM,,'03-28,1,40.22880694
C12,FAM,,'03-28,2,45
D01,FAM,,'02-68,1,40.06242388
D02,FAM,,'02-68,2,39.01799743
D03,FAM,,'02-76,1,37.8117444
D04,FAM,,'02-76,2,39.11263893
D05,FAM,,'03-03,1,45
D06,FAM,,'03-03,2,45
D07,FAM,,'03-11,1,45
D08,FAM,,'03-11,2,40.10079998
D09,FAM,,'03-19,1,36.99024983
D10,FAM,,'03-19,2,36.25893663
D11,FAM,,'03-27,1,45
D12,FAM,,'03-27,2,45
E01,FAM,,'02-67,1,45
E02,FAM,,'02-67,2,45
E03,FAM,,'02-75,1,45
E04,FAM,,'02-75,2,45
E05,FAM,,'03-02,1,45
E06,FAM,,'03-02,2,45
E07,FAM,,'03-10,1,36.60674586
E08,FAM,,'03-10,2,36.26472357
E09,FAM,,'03-18,1,45
E10,FAM,,'03-18,2,45
E11,FAM,,'03-26,1,45
E12,FAM,,'03-26,2,45
F01,FAM,,'02-66,1,40.11085371
F02,FAM,,'02-66,2,42.12533041
F03,FAM,,'02-74,1,45
F04,FAM,,'02-74,2,45
F05,FAM,,'03-01,1,40.08785675
F06,FAM,,'03-01,2,38.19574754
F07,FAM,,'03-09,1,45
F08,FAM,,'03-09,2,45
F09,FAM,,'03-17,1,45
F10,FAM,,'03-17,2,42.29414716
F11,FAM,,'03-25,1,37.4804312
F12,FAM,,'03-25,2,38.32765023
G01,FAM,,"Bd+FV3 10_9,9",1,8.151888645
G02,FAM,,"Bd+FV3 10_8,8",1,12.46831386
G03,FAM,,"Bd+FV3 10_7,7",1,16.4895603
G04,FAM,,"Bd+FV3 10_6,6",1,19.80154858
G05,FAM,,"Bd+FV3 10_5,5",1,23.20788746
G06,FAM,,"Bd+FV3 10_4,4",1,26.83501272
G07,FAM,,"Bd+FV3 10_3,3",1,30.28723518
G08,FAM,,"Bd+FV3 10_2,2",1,33.94584382
G09,FAM,,"Bd+FV3 10_1,1",1,34.51949331
G10,FAM,,"Bd+FV3 10_0,0",1,45
G11,FAM,,NTC,1,45
G12,FAM,,Blank,1,45
H01,FAM,,"Bd+FV3 10_9,9",2,7.955878717
H02,FAM,,"Bd+FV3 10_8,8",2,12.70023428
H03,FAM,,"Bd+FV3 10_7,7",2,16.67138089
H04,FAM,,"Bd+FV3 10_6,6",2,20.81922958
H05,FAM,,"Bd+FV3 10_5,5",2,24.11115552
H06,FAM,,"Bd+FV3 10_4,4",2,27.50009966
H07,FAM,,"Bd+FV3 10_3,3",2,30.81330341
H08,FAM,,"Bd+FV3 10_2,2",2,34.50948658
H09,FAM,,"Bd+FV3 10_1,1",2,35.22149564
H10,FAM,,"Bd+FV3 10_0,0",2,45
H11,FAM,,NTC,2,45
H12,FAM,,Blank,2,45
A01,HEX,,'02-71,1,45
A02,HEX,,'02-71,2,45
A03,HEX,,'02-79,1,45
A04,HEX,,'02-79,2,45
A05,HEX,,'03-06,1,45
A06,HEX,,'03-06,2,45
A07,HEX,,'03-14,1,45
A08,HEX,,'03-14,2,45
A09,HEX,,'03-22,1,45
A10,HEX,,'03-22,2,45
A11,HEX,,'03-30,1,45
A12,HEX,,'03-30,2,45
B01,HEX,,'02-70,1,45
B02,HEX,,'02-70,2,45
B03,HEX,,'02-78,1,45
B04,HEX,,'02-78,2,45
B05,HEX,,'03-05,1,45
B06,HEX,,'03-05,2,45
B07,HEX,,'03-13,1,45
B08,HEX,,'03-13,2,45
B09,HEX,,'03-21,1,45
B10,HEX,,'03-21,2,45
B11,HEX,,'03-29,1,45
B12,HEX,,'03-29,2,45
C01,HEX,,'02-69,1,45
C02,HEX,,'02-69,2,45
C03,HEX,,'02-77,1,45
C04,HEX,,'02-77,2,45
C05,HEX,,'03-04,1,45
C06,HEX,,'03-04,2,45
C07,HEX,,'03-12,1,45
C08,HEX,,'03-12,2,45
C09,HEX,,'03-20,1,45
C10,HEX,,'03-20,2,45
C11,HEX,,'03-28,1,23.22155234
C12,HEX,,'03-28,2,23.18355626
D01,HEX,,'02-68,1,45
D02,HEX,,'02-68,2,45
D03,HEX,,'02-76,1,45
D04,HEX,,'02-76,2,45
D05,HEX,,'03-03,1,45
D06,HEX,,'03-03,2,45
D07,HEX,,'03-11,1,45
D08,HEX,,'03-11,2,45
D09,HEX,,'03-19,1,45
D10,HEX,,'03-19,2,45
D11,HEX,,'03-27,1,45
D12,HEX,,'03-27,2,45
E01,HEX,,'02-67,1,45
E02,HEX,,'02-67,2,45
E03,HEX,,'02-75,1,45
E04,HEX,,'02-75,2,45
E05,HEX,,'03-02,1,45
E06,HEX,,'03-02,2,45
E07,HEX,,'03-10,1,45
E08,HEX,,'03-10,2,45
E09,HEX,,'03-18,1,45
E10,HEX,,'03-18,2,45
E11,HEX,,'03-26,1,45
E12,HEX,,'03-26,2,45
F01,HEX,,'02-66,1,45
F02,HEX,,'02-66,2,45
F03,HEX,,'02-74,1,45
F04,HEX,,'02-74,2,45
F05,HEX,,'03-01,1,45
F06,HEX,,'03-01,2,45
F07,HEX,,'03-09,1,45
F08,HEX,,'03-09,2,45
F09,HEX,,'03-17,1,45
F10,HEX,,'03-17,2,45
F11,HEX,,'03-25,1,45
F12,HEX,,'03-25,2,45
G01,HEX,,"Bd+FV3 10_9,9",1,9.318371123
G02,HEX,,"Bd+FV3 10_8,8",1,13.49282831
G03,HEX,,"Bd+FV3 10_7,7",1,17.46375205
G04,HEX,,"Bd+FV3 10_6,6",1,20.78905274
G05,HEX,,"Bd+FV3 10_5,5",1,24.1140627
G06,HEX,,"Bd+FV3 10_4,4",1,27.78981188
G07,HEX,,"Bd+FV3 10_3,3",1,31.11416022
G08,HEX,,"Bd+FV3 10_2,2",1,34.64058001
G09,HEX,,"Bd+FV3 10_1,1",1,35.34259273
G10,HEX,,"Bd+FV3 10_0,0",1,45
G11,HEX,,NTC,1,45
G12,HEX,,Blank,1,45
H01,HEX,,"Bd+FV3 10_9,9",2,9.313462335
H02,HEX,,"Bd+FV3 10_8,8",2,13.61253978
H03,HEX,,"Bd+FV3 10_7,7",2,17.68476067
H04,HEX,,"Bd+FV3 10_6,6",2,21.74786989
H05,HEX,,"Bd+FV3 10_5,5",2,25.08186289
H06,HEX,,"Bd+FV3 10_4,4",2,28.40905806
H07,HEX,,"Bd+FV3 10_3,3",2,31.64795726
H08,HEX,,"Bd+FV3 10_2,2",2,35.25749621
H09,HEX,,"Bd+FV3 10_1,1",2,36.02546988
H10,HEX,,"Bd+FV3 10_0,0",2,45
H11,HEX,,NTC,2,45
H12,HEX,,Blank,2,45
A01,FAM,,'02-65,1,45
A02,FAM,,'02-65,2,45
A03,FAM,,'02-73,1,41.04376891
A04,FAM,,'02-73,2,40.88736953
A05,FAM,,'02-81,1,45
A06,FAM,,'02-81,2,45
A07,FAM,,'03-08,1,45
A08,FAM,,'03-08,2,45
A09,FAM,,'03-16,1,45
A10,FAM,,'03-16,2,45
A11,FAM,,'03-24,1,45
A12,FAM,,'03-24,2,45
B01,FAM,,'02-64,1,43.47487771
B02,FAM,,'02-64,2,43.40704575
B03,FAM,,'02-72,1,38.32797854
B04,FAM,,'02-72,2,38.55258468
B05,FAM,,'02-80,1,45
B06,FAM,,'02-80,2,45
B07,FAM,,'03-07,1,45
B08,FAM,,'03-07,2,45
B09,FAM,,'03-15,1,45
B10,FAM,,'03-15,2,45
B11,FAM,,'03-23,1,45
B12,FAM,,'03-23,2,45
C01,FAM,,'03-38,1,45
C02,FAM,,'03-38,2,45
C03,FAM,,'03-46,1,45
C04,FAM,,'03-46,2,45
C05,FAM,,'03-54,1,44.91581378
C06,FAM,,'03-54,2,45
C07,FAM,,'03-62,1,7.02801625
C08,FAM,,'03-62,2,45
C09,FAM,,'03-70,1,45
C10,FAM,,'03-70,2,45
C11,FAM,,'03-78,1,45
C12,FAM,,'03-78,2,45
D01,FAM,,'03-37,1,45
D02,FAM,,'03-37,2,45
D03,FAM,,'03-45,1,45
D04,FAM,,'03-45,2,45
D05,FAM,,'03-53,1,45
D06,FAM,,'03-53,2,45
D07,FAM,,'03-61,1,45
D08,FAM,,'03-61,2,45
D09,FAM,,'03-69,1,45
D10,FAM,,'03-69,2,45
D11,FAM,,'03-77,1,45
D12,FAM,,'03-77,2,45
E01,FAM,,'03-36,1,45
E02,FAM,,'03-36,2,45
E03,FAM,,'03-44,1,45
E04,FAM,,'03-44,2,45
E05,FAM,,'03-52,1,45
E06,FAM,,'03-52,2,45
E07,FAM,,'03-60,1,45
E08,FAM,,'03-60,2,45
E09,FAM,,'03-68,1,45
E10,FAM,,'03-68,2,45
E11,FAM,,'03-76,1,45
E12,FAM,,'03-76,2,45
F01,FAM,,'03-35,1,45
F02,FAM,,'03-35,2,45
F03,FAM,,'03-43,1,45
F04,FAM,,'03-43,2,45
F05,FAM,,'03-51,1,45
F06,FAM,,'03-51,2,45
F07,FAM,,'03-59,1,45
F08,FAM,,'03-59,2,45
F09,FAM,,'03-67,1,45
F10,FAM,,'03-67,2,45
F11,FAM,,'03-75,1,45
F12,FAM,,'03-75,2,45
G01,FAM,,"Bd+FV3 10_9,9",1,3.409980183
G02,FAM,,"Bd+FV3 10_8,8",1,10.23204234
G03,FAM,,"Bd+FV3 10_7,7",1,15.02462602
G04,FAM,,"Bd+FV3 10_6,6",1,19.54937534
G05,FAM,,"Bd+FV3 10_5,5",1,23.0537935
G06,FAM,,"Bd+FV3 10_4,4",1,26.43634361
G07,FAM,,"Bd+FV3 10_3,3",1,30.06744128
G08,FAM,,"Bd+FV3 10_2,2",1,33.83327338
G09,FAM,,"Bd+FV3 10_1,1",1,34.01761149
G10,FAM,,"Bd+FV3 10_0,0",1,45
G11,FAM,,NTC,1,45
G12,FAM,,Blank,1,45
H01,FAM,,"Bd+FV3 10_9,9",2,4.026356647
H02,FAM,,"Bd+FV3 10_8,8",2,11.23622233
H03,FAM,,"Bd+FV3 10_7,7",2,15.21873089
H04,FAM,,"Bd+FV3 10_6,6",2,19.18093716
H05,FAM,,"Bd+FV3 10_5,5",2,22.84767107
H06,FAM,,"Bd+FV3 10_4,4",2,26.69907257
H07,FAM,,"Bd+FV3 10_3,3",2,30.52732748
H08,FAM,,"Bd+FV3 10_2,2",2,45
H09,FAM,,"Bd+FV3 10_1,1",2,35.15657628
H10,FAM,,"Bd+FV3 10_0,0",2,45
H11,FAM,,NTC,2,45
H12,FAM,,Blank,2,45
A01,HEX,,'02-65,1,45
A02,HEX,,'02-65,2,45
A03,HEX,,'02-73,1,42.4627021
A04,HEX,,'02-73,2,45
A05,HEX,,'02-81,1,45
A06,HEX,,'02-81,2,45
A07,HEX,,'03-08,1,45
A08,HEX,,'03-08,2,45
A09,HEX,,'03-16,1,45
A10,HEX,,'03-16,2,45
A11,HEX,,'03-24,1,45
A12,HEX,,'03-24,2,45
B01,HEX,,'02-64,1,45
B02,HEX,,'02-64,2,45
B03,HEX,,'02-72,1,45
B04,HEX,,'02-72,2,45
B05,HEX,,'02-80,1,45
B06,HEX,,'02-80,2,41.23142113
B07,HEX,,'03-07,1,45
B08,HEX,,'03-07,2,45
B09,HEX,,'03-15,1,45
B10,HEX,,'03-15,2,45
B11,HEX,,'03-23,1,45
B12,HEX,,'03-23,2,45
C01,HEX,,'03-38,1,45
C02,HEX,,'03-38,2,45
C03,HEX,,'03-46,1,45
C04,HEX,,'03-46,2,45
C05,HEX,,'03-54,1,45
C06,HEX,,'03-54,2,45
C07,HEX,,'03-62,1,45
C08,HEX,,'03-62,2,45
C09,HEX,,'03-70,1,45
C10,HEX,,'03-70,2,45
C11,HEX,,'03-78,1,45
C12,HEX,,'03-78,2,45
D01,HEX,,'03-37,1,45
D02,HEX,,'03-37,2,45
D03,HEX,,'03-45,1,43.60449081
D04,HEX,,'03-45,2,45
D05,HEX,,'03-53,1,45
D06,HEX,,'03-53,2,45
D07,HEX,,'03-61,1,45
D08,HEX,,'03-61,2,45
D09,HEX,,'03-69,1,45
D10,HEX,,'03-69,2,45
D11,HEX,,'03-77,1,45
D12,HEX,,'03-77,2,45
E01,HEX,,'03-36,1,45
E02,HEX,,'03-36,2,45
E03,HEX,,'03-44,1,45
E04,HEX,,'03-44,2,45
E05,HEX,,'03-52,1,45
E06,HEX,,'03-52,2,45
E07,HEX,,'03-60,1,45
E08,HEX,,'03-60,2,45
E09,HEX,,'03-68,1,45
E10,HEX,,'03-68,2,45
E11,HEX,,'03-76,1,45
E12,HEX,,'03-76,2,45
F01,HEX,,'03-35,1,45
F02,HEX,,'03-35,2,45
F03,HEX,,'03-43,1,45
F04,HEX,,'03-43,2,45
F05,HEX,,'03-51,1,45
F06,HEX,,'03-51,2,45
F07,HEX,,'03-59,1,45
F08,HEX,,'03-59,2,45
F09,HEX,,'03-67,1,45
F10,HEX,,'03-67,2,45
F11,HEX,,'03-75,1,45
F12,HEX,,'03-75,2,45
G01,HEX,,"Bd+FV3 10_9,9",1,9.333242639
G02,HEX,,"Bd+FV3 10_8,8",1,13.54555064
G03,HEX,,"Bd+FV3 10_7,7",1,18.3376699
G04,HEX,,"Bd+FV3 10_6,6",1,22.27804489
G05,HEX,,"Bd+FV3 10_5,5",1,25.66689849
G06,HEX,,"Bd+FV3 10_4,4",1,29.28723857
G07,HEX,,"Bd+FV3 10_3,3",1,32.49225956
G08,HEX,,"Bd+FV3 10_2,2",1,36.36642596
G09,HEX,,"Bd+FV3 10_1,1",1,36.2993864
G10,HEX,,"Bd+FV3 10_0,0",1,45
G11,HEX,,NTC,1,45
G12,HEX,,Blank,1,45
H01,HEX,,"Bd+FV3 10_9,9",2,9.242041636
H02,HEX,,"Bd+FV3 10_8,8",2,14.2309504
H03,HEX,,"Bd+FV3 10_7,7",2,18.1550469
H04,HEX,,"Bd+FV3 10_6,6",2,22.30298976
H05,HEX,,"Bd+FV3 10_5,5",2,25.74115216
H06,HEX,,"Bd+FV3 10_4,4",2,29.43814981
H07,HEX,,"Bd+FV3 10_3,3",2,33.1798691
H08,HEX,,"Bd+FV3 10_2,2",2,45
H09,HEX,,"Bd+FV3 10_1,1",2,37.09318267
H10,HEX,,"Bd+FV3 10_0,0",2,45
H11,HEX,,NTC,2,45
H12,HEX,,Blank,2,45
A01,FAM,'04-05,'04-05,1,33.18296429
A02,FAM,'04-05,'04-05,2,33.34495554
A03,FAM,'04-13,'04-13,1,45
A04,FAM,'04-13,'04-13,2,45
A05,FAM,'04-21,'04-21,1,45
A06,FAM,'04-21,'04-21,2,45
A07,FAM,'04-29,'04-29,1,45
A08,FAM,'04-29,'04-29,2,45
A09,FAM,'04-37,'04-37,1,45
A10,FAM,'04-37,'04-37,2,45
A11,FAM,'04-45,'04-45,1,45
A12,FAM,'04-45,'04-45,2,45
B01,FAM,'04-04,'04-04,1,45
B02,FAM,'04-04,'04-04,2,45
B03,FAM,'04-12,'04-12,1,45
B04,FAM,'04-12,'04-12,2,45
B05,FAM,'04-20,'04-20,1,45
B06,FAM,'04-20,'04-20,2,45
B07,FAM,'04-28,'04-28,1,35.57135198
B08,FAM,'04-28,'04-28,2,36.12925578
B09,FAM,'04-36,'04-36,1,45
B10,FAM,'04-36,'04-36,2,45
B11,FAM,'04-44,'04-44,1,45
B12,FAM,'04-44,'04-44,2,45
C01,FAM,'04-03,'04-03,1,38.29363572
C02,FAM,'04-03,'04-03,2,36.59070878
C03,FAM,'04-11,'04-11,1,45
C04,FAM,'04-11,'04-11,2,45
C05,FAM,'04-19,'04-19,1,45
C06,FAM,'04-19,'04-19,2,45
C07,FAM,'04-27,'04-27,1,45
C08,FAM,'04-27,'04-27,2,45
C09,FAM,'04-35,'04-35,1,45
C10,FAM,'04-35,'04-35,2,45
C11,FAM,'04-43,'04-43,1,45
C12,FAM,'04-43,'04-43,2,45
D01,FAM,'04-02,'04-02,1,45
D02,FAM,'04-02,'04-02,2,45
D03,FAM,'04-10,'04-10,1,45
D04,FAM,'04-10,'04-10,2,45
D05,FAM,'04-18,'04-18,1,45
D06,FAM,'04-18,'04-18,2,45
D07,FAM,'04-26,'04-26,1,45
D08,FAM,'04-26,'04-26,2,45
D09,FAM,'04-34,'04-34,1,45
D10,FAM,'04-34,'04-34,2,45
D11,FAM,'04-42,'04-42,1,45
D12,FAM,'04-42,'04-42,2,9.767882657
E01,FAM,'04-01,'04-01,1,45
E02,FAM,'04-01,'04-01,2,45
E03,FAM,'04-09,'04-09,1,45
E04,FAM,'04-09,'04-09,2,45
E05,FAM,'04-17,'04-17,1,45
E06,FAM,'04-17,'04-17,2,45
E07,FAM,'04-25,'04-25,1,45
E08,FAM,'04-25,'04-25,2,45
E09,FAM,'04-33,'04-33,1,45
E10,FAM,'04-33,'04-33,2,45
E11,FAM,'04-41,'04-41,1,45
E12,FAM,'04-41,'04-41,2,45
F01,FAM,'03-81,'03-81,1,45
F02,FAM,'03-81,'03-81,2,45
F03,FAM,'04-08,'04-08,1,40.01468572
F04,FAM,'04-08,'04-08,2,45
F05,FAM,'04-16,'04-16,1,45
F06,FAM,'04-16,'04-16,2,45
F07,FAM,'04-24,'04-24,1,45
F08,FAM,'04-24,'04-24,2,45
F09,FAM,'04-32,'04-32,1,45
F10,FAM,'04-32,'04-32,2,45
F11,FAM,'04-40,'04-40,1,45
F12,FAM,'04-40,'04-40,2,45
G01,FAM,'03-80,'03-80,1,45
G02,FAM,'03-80,'03-80,2,45
G03,FAM,'04-07,'04-07,1,45
G04,FAM,'04-07,'04-07,2,45
G05,FAM,'04-15,'04-15,1,45
G06,FAM,'04-15,'04-15,2,45
G07,FAM,'04-23,'04-23,1,45
G08,FAM,'04-23,'04-23,2,45
G09,FAM,"Bd+FV3 10_5,5","Bd+FV3 10_5,5",1,24.78718176
G10,FAM,"Bd+FV3 10_2,2","Bd+FV3 10_2,2",1,34.34172771
G11,FAM,"Bd+FV3 10_1,1","Bd+FV3 10_1,1",1,35.69442651
G12,FAM,NTC,NTC,1,45
H01,FAM,'03-79,'03-79,1,45
H02,FAM,'03-79,'03-79,2,45
H03,FAM,'04-06,'04-06,1,45
H04,FAM,'04-06,'04-06,2,45
H05,FAM,'04-14,'04-14,1,45
H06,FAM,'04-14,'04-14,2,45
H07,FAM,'04-22,'04-22,1,45
H08,FAM,'04-22,'04-22,2,45
H09,FAM,"Bd+FV3 10_5,5","Bd+FV3 10_5,5",2,24.71331185
H10,FAM,"Bd+FV3 10_2,2","Bd+FV3 10_2,2",2,35.15680473
H11,FAM,"Bd+FV3 10_1,1","Bd+FV3 10_1,1",2,36.90790699
H12,FAM,NTC,NTC,2,45
A01,HEX,'04-05,'04-05,1,45
A02,HEX,'04-05,'04-05,2,45
A03,HEX,'04-13,'04-13,1,45
A04,HEX,'04-13,'04-13,2,45
A05,HEX,'04-21,'04-21,1,45
A06,HEX,'04-21,'04-21,2,45
A07,HEX,'04-29,'04-29,1,45
A08,HEX,'04-29,'04-29,2,45
A09,HEX,'04-37,'04-37,1,45
A10,HEX,'04-37,'04-37,2,45
A11,HEX,'04-45,'04-45,1,45
A12,HEX,'04-45,'04-45,2,45
B01,HEX,'04-04,'04-04,1,45
B02,HEX,'04-04,'04-04,2,45
B03,HEX,'04-12,'04-12,1,45
B04,HEX,'04-12,'04-12,2,45
B05,HEX,'04-20,'04-20,1,45
B06,HEX,'04-20,'04-20,2,45
B07,HEX,'04-28,'04-28,1,45
B08,HEX,'04-28,'04-28,2,45
B09,HEX,'04-36,'04-36,1,45
B10,HEX,'04-36,'04-36,2,45
B11,HEX,'04-44,'04-44,1,45
B12,HEX,'04-44,'04-44,2,45
C01,HEX,'04-03,'04-03,1,45
C02,HEX,'04-03,'04-03,2,45
C03,HEX,'04-11,'04-11,1,45
C04,HEX,'04-11,'04-11,2,45
C05,HEX,'04-19,'04-19,1,45
C06,HEX,'04-19,'04-19,2,45
C07,HEX,'04-27,'04-27,1,45
C08,HEX,'04-27,'04-27,2,45
C09,HEX,'04-35,'04-35,1,45
C10,HEX,'04-35,'04-35,2,45
C11,HEX,'04-43,'04-43,1,45
C12,HEX,'04-43,'04-43,2,45
D01,HEX,'04-02,'04-02,1,45
D02,HEX,'04-02,'04-02,2,45
D03,HEX,'04-10,'04-10,1,45
D04,HEX,'04-10,'04-10,2,45
D05,HEX,'04-18,'04-18,1,45
D06,HEX,'04-18,'04-18,2,45
D07,HEX,'04-26,'04-26,1,45
D08,HEX,'04-26,'04-26,2,45
D09,HEX,'04-34,'04-34,1,45
D10,HEX,'04-34,'04-34,2,45
D11,HEX,'04-42,'04-42,1,45
D12,HEX,'04-42,'04-42,2,45
E01,HEX,'04-01,'04-01,1,45
E02,HEX,'04-01,'04-01,2,45
E03,HEX,'04-09,'04-09,1,45
E04,HEX,'04-09,'04-09,2,45
E05,HEX,'04-17,'04-17,1,45
E06,HEX,'04-17,'04-17,2,45
E07,HEX,'04-25,'04-25,1,45
E08,HEX,'04-25,'04-25,2,45
E09,HEX,'04-33,'04-33,1,45
E10,HEX,'04-33,'04-33,2,45
E11,HEX,'04-41,'04-41,1,45
E12,HEX,'04-41,'04-41,2,45
F01,HEX,'03-81,'03-81,1,45
F02,HEX,'03-81,'03-81,2,45
F03,HEX,'04-08,'04-08,1,45
F04,HEX,'04-08,'04-08,2,45
F05,HEX,'04-16,'04-16,1,45
F06,HEX,'04-16,'04-16,2,45
F07,HEX,'04-24,'04-24,1,45
F08,HEX,'04-24,'04-24,2,45
F09,HEX,'04-32,'04-32,1,45
F10,HEX,'04-32,'04-32,2,45
F11,HEX,'04-40,'04-40,1,45
F12,HEX,'04-40,'04-40,2,45
G01,HEX,'03-80,'03-80,1,45
G02,HEX,'03-80,'03-80,2,45
G03,HEX,'04-07,'04-07,1,45
G04,HEX,'04-07,'04-07,2,45
G05,HEX,'04-15,'04-15,1,45
G06,HEX,'04-15,'04-15,2,45
G07,HEX,'04-23,'04-23,1,45
G08,HEX,'04-23,'04-23,2,45
G09,HEX,"Bd+FV3 10_5,5","Bd+FV3 10_5,5",1,25.37501579
G10,HEX,"Bd+FV3 10_2,2","Bd+FV3 10_2,2",1,34.67338907
G11,HEX,"Bd+FV3 10_1,1","Bd+FV3 10_1,1",1,36.20411697
G12,HEX,NTC,NTC,1,45
H01,HEX,'03-79,'03-79,1,45
H02,HEX,'03-79,'03-79,2,45
H03,HEX,'04-06,'04-06,1,45
H04,HEX,'04-06,'04-06,2,45
H05,HEX,'04-14,'04-14,1,45
H06,HEX,'04-14,'04-14,2,45
H07,HEX,'04-22,'04-22,1,45
H08,HEX,'04-22,'04-22,2,45
H09,HEX,"Bd+FV3 10_5,5","Bd+FV3 10_5,5",2,25.29867227
H10,HEX,"Bd+FV3 10_2,2","Bd+FV3 10_2,2",2,35.58790036
H11,HEX,"Bd+FV3 10_1,1","Bd+FV3 10_1,1",2,36.81274772
H12,HEX,NTC,NTC,2,45
A01,FAM,,'03-34,1,45
A02,FAM,,'03-34,2,45
A03,FAM,,'03-42,1,45
A04,FAM,,'03-42,2,45
A05,FAM,,'03-50,1,45
A06,FAM,,'03-50,2,45
A07,FAM,,'03-58,1,45
A08,FAM,,'03-58,2,45
A09,FAM,,'03-66,1,45
A10,FAM,,'03-66,2,45
A11,FAM,,'03-74,1,45
A12,FAM,,'03-74,2,29.22749771
B01,FAM,,'03-33,1,45
B02,FAM,,'03-33,2,38.6386711
B03,FAM,,'03-41,1,45
B04,FAM,,'03-41,2,45
B05,FAM,,'03-49,1,24.66520482
B06,FAM,,'03-49,2,45
B07,FAM,,'03-57,1,45
B08,FAM,,'03-57,2,45
